 Station name,Land use,Aspect,Latitude,Longitude,Altitude,Altitude_approx
B1,Meadow,South,46.66121887,10.59024912,990,1000
B2,Meadow,South,46.6862577,10.5798452,1490,1500
B3,Meadow,Flat,46.69173286,10.59188535,1930,2000
M1,Meadow,South,46.71328209,10.6412642,1839,1800
M2,Pasture,Flat,46.71110568,10.69164718,2180,2200
M3,Pasture,Flat,46.76683822,10.70120078,2332,2300
M5,Pasture,South,46.70135815,10.61585587,1823,1800
M7,Meadow,North,46.6894894,10.62645995,1631,1600
I1,Meadow,South,46.68700896,10.57969321,1490,1500
I3,Meadow,South,46.6840937,10.58166556,1430,1400
P1,Pasture,South,46.685863,10.58294569,1526,1500
P2,Pasture,South,46.68424929,10.5850562,1549,1500
P3,Pasture,South,46.68514431,10.58575536,1577,1600
XS6,Forest,North,46.68895823,10.63043102,1778,1800
S2,Meadow,South,46.6988975,10.61923275,1635,1600
S3,Pasture,Flat,46.76671,10.71079,2680,2700
S4,Pasture,South,46.706995,10.602312,2353,2400
M4,Pasture,Flat,46.74048467,10.69699228,1986,2000
M4s,Bare soil,Flat,46.74219931,10.69901896,2010,2000
F6,Forest,North,46.695578,10.648088,2360,2400
F5,Forest,South,46.73886,10.68865,2090,2100
F4,Forest,North,46.69865, 10.64211,2027,2000
F3,Forest,South,46.69759,10.60724,1985,2000
F2,Forest,South,46.69435,10.61268,1710,1700
F1,Forest,South,46.67776,10.577797,1154,1200
