"","Station_S1","S1","Date_S1","Orbit","angle","LIA_Deg","NDMI_L8","NDVI","NDVI_L8","RVI","ST_B10","VH","VH_multilook","VH_VV","VV","VV_multilook","VV_VH","Date_GTD","landuse","sd_obs_02","obs_02","sd_obs_05","obs_05","elevation","latitude","longitude","slope"
"1","B1","S1A_IW_GRDH_1SDV_20200502T170701_20200502T170726_032389_03BFFF_DA7F_117",2020-05-02 17:07:01,"117",35.441520690918,27.0324632406184,0.321018129587173,7426,0.504003882408142,2.64498740768405,43506,-17.7997935116549,-15.5143678953436,1.95200208668417,-11.0148871048179,-7.94792587629741,0.512294534325362,2020-05-02 19:07:30,"me",0.000537597154010331,0.1450825,0.00043441739967784,0.134435,985,46.6612357187845,10.5901939687208,12.4180821079834
"2","B1","S1A_IW_GRDH_1SDV_20230328T052727_20230328T052752_047840_05BF83_BBA9_168",2023-03-28 05:27:27,"168",38.7187232971191,50.450588208679,0.0787626579403877,5438,0.299381792545319,2.30373883656345,39084,-23.5337075047414,-21.7501752941652,1.35812744300305,-16.8720148863822,-16.0148264481512,0.736307925410027,2023-03-28 07:22:30,"me",8.68134288492598e-06,0.10191085,1.06473336702522e-05,0.1247425,985,46.6612357187845,10.5901939687208,12.4180821079834
"3","B1","S1A_IW_GRDH_1SDV_20221116T052731_20221116T052756_045915_057E6A_A063_168",2022-11-16 05:27:31,"168",38.7172393798828,50.4515828922364,0.224825695157051,6611,0.424691528081894,2.38825961498319,37533,-18.7709859844299,-19.413864476178,1.48178927399543,-10.3140916155546,-13.101636526111,0.67485979116561,2022-11-16 06:22:30,"me",0,0.2256,2.36880771698417e-06,0.2527991625,985,46.6612357187845,10.5901939687208,12.4180821079834
"4","B1","S1B_IW_GRDH_1SDV_20200617T052609_20200617T052634_022069_029E24_0FF6_168",2020-06-17 05:26:09,"168",38.8489112854004,50.8200387561896,NA,6827,NA,2.39840809902038,NA,-17.0404026259717,-18.1721696344986,1.49751512701418,-14.3521533298577,-12.1348821836152,0.667772887205388,2020-06-17 07:22:30,"me",0.00170451849589763,0.23528915,0.000101363757083092,0.2229641625,985,46.6612357187845,10.5901939687208,12.4180821079834
"5","B1","S1B_IW_GRDH_1SDV_20210531T052614_20210531T052639_027144_033E10_40F9_168",2021-05-31 05:26:14,"168",38.85107421875,50.8227639040708,0.295927286148071,NA,0.510807693004608,2.36492600116735,44898,-24.1241599687952,-20.8615142748035,1.4463724595069,-17.9054724679245,-14.4233348316904,0.691384845879134,2021-05-31 07:22:30,"me",0.000303936058830052,0.127490825,9.04708911354978e-06,0.1265008125,985,46.6612357187845,10.5901939687208,12.4180821079834
"6","B1","S1B_IW_GRDH_1SDV_20210316T170636_20210316T170647_026043_031B74_89E3_117",2021-03-16 17:06:36,"117",34.7099494934082,26.5833177469928,-0.0211808923631907,NA,0.218744456768036,2.95858388802479,43333,-18.2090450189676,-15.4127039058577,2.84092386703463,-11.0302741194659,-5.4252435571058,0.351998169188464,2021-03-16 18:07:30,"me",0.000308569241766392,0.1912091625,3.10149733423729e-06,0.169205025,985,46.6612357187845,10.5901939687208,12.4180821079834
"7","B1","S1A_IW_GRDH_1SDV_20230417T170718_20230417T170743_048139_05C9A1_526D_117",2023-04-17 17:07:18,"117",35.430980682373,27.0311749474156,NA,6082,NA,2.67953761302207,NA,-18.4800390820808,-16.071729636745,2.02924190756738,-10.9286205861131,-7.92006590087204,0.492794868995575,2023-04-17 19:07:30,"me",0.000286226144046474,0.1099758375,1.1805325674701e-05,0.10561335,985,46.6612357187845,10.5901939687208,12.4180821079834
"8","B1","S1A_IW_GRDH_1SDV_20201110T170709_20201110T170734_035189_041BBF_4713_117",2020-11-10 17:07:09,"117",35.4384574890137,27.0293681984431,0.133364304900169,6250,0.384397059679031,2.72329343313774,39784,-16.3819598910264,-14.6574908611449,2.13306135005692,-8.55972270989626,-6.87157491309559,0.468809769570536,2020-11-10 18:07:30,"me",0.000196780922420262,0.212415,4.26882385943039e-06,0.18929415,985,46.6612357187845,10.5901939687208,12.4180821079834
"9","B1","S1A_IW_GRDH_1SDV_20220727T170718_20220727T170743_044289_054937_ADCF_117",2022-07-27 17:07:18,"117",35.4310264587402,27.0314357257669,0.249272838234901,7278,0.437368214130402,2.80951943866248,43316,-16.8849783831667,-14.4128468609721,2.35998766372627,-8.8689089298829,-6.10717042402465,0.423731028500828,2022-07-27 19:07:30,"me",0.000346198631826533,0.2625299875,6.51831430881966e-05,0.253625825,985,46.6612357187845,10.5901939687208,12.4180821079834
"10","B1","S1A_IW_GRDH_1SDV_20221117T171541_20221117T171606_045937_057F23_81A3_15",2022-11-17 17:15:41,"15",43.9927177429199,35.6057059270719,0.224825695157051,6611,0.424691528081894,2.55623133635886,37533,-19.9525675944239,-15.8581335684655,1.77052695541412,-11.8760015207505,-8.95673094384282,0.564803600951731,2022-11-17 18:22:30,"me",0.000307291704132364,0.22529,2.33345237792383e-06,0.252700825,985,46.6612357187845,10.5901939687208,12.4180821079834
