"","Station_S1","S1","Date_S1","Orbit","angle","LIA_Deg","NDMI_L8","NDVI","NDVI_L8","RVI","ST_B10","VH","VH_multilook","VH_VV","VV","VV_multilook","VV_VH","Date_GTD","landuse","sd_obs_02","obs_02","sd_obs_05","obs_05","elevation","latitude","longitude","slope"
"1","B1","S1A_IW_GRDH_1SDV_20200502T170701_20200502T170726_032389_03BFFF_DA7F_117",2020-05-02 17:07:01,"117",35.441520690918,27.0324632406184,0.321018129587173,7426,0.504003882408142,2.64498740768405,43506,-17.7997935116549,-15.5143678953436,1.95200208668417,-11.0148871048179,-7.94792587629741,0.512294534325362,2020-05-02 19:07:30,"me",0.000537597154010331,0.1450825,0.00043441739967784,0.134435,985,46.6612357187845,10.5901939687208,12.4180821079834
"2","B1","S1A_IW_GRDH_1SDV_20230328T052727_20230328T052752_047840_05BF83_BBA9_168",2023-03-28 05:27:27,"168",38.7187232971191,50.450588208679,0.0787626579403877,5438,0.299381792545319,2.30373883656345,39084,-23.5337075047414,-21.7501752941652,1.35812744300305,-16.8720148863822,-16.0148264481512,0.736307925410027,2023-03-28 07:22:30,"me",8.68134288492598e-06,0.10191085,1.06473336702522e-05,0.1247425,985,46.6612357187845,10.5901939687208,12.4180821079834
"3","B1","S1A_IW_GRDH_1SDV_20221116T052731_20221116T052756_045915_057E6A_A063_168",2022-11-16 05:27:31,"168",38.7172393798828,50.4515828922364,0.224825695157051,6611,0.424691528081894,2.38825961498319,37533,-18.7709859844299,-19.413864476178,1.48178927399543,-10.3140916155546,-13.101636526111,0.67485979116561,2022-11-16 06:22:30,"me",0,0.2256,2.36880771698417e-06,0.2527991625,985,46.6612357187845,10.5901939687208,12.4180821079834
"8","B1","S1A_IW_GRDH_1SDV_20201110T170709_20201110T170734_035189_041BBF_4713_117",2020-11-10 17:07:09,"117",35.4384574890137,27.0293681984431,0.133364304900169,6250,0.384397059679031,2.72329343313774,39784,-16.3819598910264,-14.6574908611449,2.13306135005692,-8.55972270989626,-6.87157491309559,0.468809769570536,2020-11-10 18:07:30,"me",0.000196780922420262,0.212415,4.26882385943039e-06,0.18929415,985,46.6612357187845,10.5901939687208,12.4180821079834
"9","B1","S1A_IW_GRDH_1SDV_20220727T170718_20220727T170743_044289_054937_ADCF_117",2022-07-27 17:07:18,"117",35.4310264587402,27.0314357257669,0.249272838234901,7278,0.437368214130402,2.80951943866248,43316,-16.8849783831667,-14.4128468609721,2.35998766372627,-8.8689089298829,-6.10717042402465,0.423731028500828,2022-07-27 19:07:30,"me",0.000346198631826533,0.2625299875,6.51831430881966e-05,0.253625825,985,46.6612357187845,10.5901939687208,12.4180821079834
"10","B1","S1A_IW_GRDH_1SDV_20221117T171541_20221117T171606_045937_057F23_81A3_15",2022-11-17 17:15:41,"15",43.9927177429199,35.6057059270719,0.224825695157051,6611,0.424691528081894,2.55623133635886,37533,-19.9525675944239,-15.8581335684655,1.77052695541412,-11.8760015207505,-8.95673094384282,0.564803600951731,2022-11-17 18:22:30,"me",0.000307291704132364,0.22529,2.33345237792383e-06,0.252700825,985,46.6612357187845,10.5901939687208,12.4180821079834
"11","B1","S1A_IW_GRDH_1SDV_20220625T052726_20220625T052751_043815_053B13_5CC1_168",2022-06-25 05:27:26,"168",38.709342956543,50.441149749041,0.259804606437683,7726,0.461263716220856,2.36309732658989,44356,-20.406824391715,-19.2280552945742,1.44363948142801,-13.2013379970837,-13.3191531140131,0.692693718109472,2022-06-25 07:22:30,"me",0.000336900485518885,0.2608925,1.95005311283102e-05,0.257217475,985,46.6612357187845,10.5901939687208,12.4180821079834
"12","B1","S1A_IW_GRDH_1SDV_20220410T170712_20220410T170737_042714_0518DD_0B5A_117",2022-04-10 17:07:12,"117",35.432933807373,27.0333551152314,0.085972286760807,5697,0.246417209506035,2.74581059438052,40916,-18.7833739486552,-15.247477986831,2.18931094623965,-9.65173378752489,-6.9645100039444,0.456764719382414,2022-04-10 19:07:30,"me",0.000601519636895945,0.167451675,0.000306626046966934,0.1458024875,985,46.6612357187845,10.5901939687208,12.4180821079834
"16","B1","S1B_IW_GRDH_1SDV_20210824T171440_20210824T171505_028391_036337_F1B4_15",2021-08-24 17:14:40,"15",44.7101821899414,35.8102488276013,0.261552035808563,6832,0.461302489042282,2.5699439200438,43018,-14.8230685410487,-14.7675278920544,1.79709310429457,-9.82061834982151,-8.21745287251059,0.556454196841705,2021-08-24 19:07:30,"me",0.000327462733975725,0.123258325,1.12616844083904e-05,0.1252766375,985,46.6612357187845,10.5901939687208,12.4180821079834
"19","B1","S1A_IW_GRDH_1SDV_20200506T052711_20200506T052736_032440_03C1BA_386B_168",2020-05-06 05:27:11,"168",38.7139205932617,50.4453702023399,0.321018129587173,7426,0.504003882408142,2.38189174545039,43506,-21.5072058199411,-20.5906736079132,1.47202249216222,-14.3935878038935,-13.9880156163022,0.679337445809759,2020-05-06 07:22:30,"me",0.000371550804063175,0.2202475,0.000347348712185811,0.208615825,985,46.6612357187845,10.5901939687208,12.4180821079834
